parent,child,quantity
14-14,15-29,1
14-15,4-4,1
14-15,5-4,1
15-13,6-5,1
14-15,7-4,1
14-15,11-3,2
14-15,15-29,1
14-16,4-4,1
14-16,5-4,1
14-16,7-4,1
14-16,11-3,2
14-16,15-29,1
14-17,7-4,1
14-17,4-4,1
15-13,8-5,1
14-17,5-4,1
14-17,11-3,2
14-17,15-29,1
14-18,7-4,1
14-18,4-4,1
14-18,5-4,1
14-18,11-3,2
14-18,15-29,1
14-19,7-4,1
14-19,4-4,1
15-13,9-4,1
14-19,5-4,1
14-19,11-3,2
14-19,15-29,1
14-20,7-4,1
14-20,4-4,1
14-20,5-4,1
14-20,11-3,2
14-20,15-29,1
14-21,7-4,1
14-21,4-4,1
15-13,10-4,1
14-21,5-4,1
14-21,11-3,2
14-21,15-29,1
14-22,4-4,1
14-22,5-4,1
14-22,7-4,1
14-22,11-3,2
14-22,15-29,1
14-23,7-4,1
14-23,4-4,1
15-13,12-4,1
14-23,5-4,1
14-23,11-3,2
14-23,15-29,1
14-24,7-4,1
14-24,4-4,1
14-24,5-4,1
14-24,11-3,2
14-24,15-29,1
14-25,7-4,1
14-25,4-4,1
15-14,2-6,1
14-25,5-4,1
14-25,11-3,2
14-25,15-29,1
14-26,4-4,1
14-26,5-4,1
14-26,7-4,1
14-26,11-3,2
14-26,15-29,1
1025-3,4-4,1
1025-3,5-4,1
15-14,6-5,1
1025-3,7-4,1
1025-3,11-3,2
1025-3,15-29,1
1025-4,4-4,1
1025-4,5-4,1
1025-4,7-4,1
1025-4,11-3,2
1025-4,15-29,1
1025-5,7-4,1
1025-5,4-4,1
15-14,8-5,1
1025-5,5-4,1
1025-5,11-3,2
1025-5,15-29,1
1025-6,7-4,1
1025-6,4-4,1
1025-6,5-4,1
1025-6,11-3,2
1025-6,15-29,1
15-14,9-4,1
1023-3,7-4,1
1023-3,4-4,1
1023-3,5-4,1
1023-3,11-4,2
1023-3,15-29,1
1023-4,7-4,1
1023-4,4-4,1
1023-4,5-4,1
1023-4,11-4,2
1023-4,15-29,1
15-14,10-4,1
15-30,2-6,1
15-30,6-5,1
15-30,8-5,1
15-30,9-4,1
15-30,10-4,1
15-30,12-5,1
3-7,13-4,1
15-14,12-4,1
3-8,13-5,1
3-9,13-5,1
3-10,13-5,1
15-15,2-6,1
1040-2,4-4,1
1040-2,5-4,1
1040-2,7-4,1
1040-2,11-4,2
1040-2,15-30,1
15-15,6-5,1
15-31,2-8,1
15-31,6-6,1
15-31,8-5,1
15-31,9-5,1
15-31,10-8,1
15-31,12-6,1
1040-3,4-4,1
1040-3,5-4,1
15-15,8-5,1
1040-3,7-4,1
1040-3,11-4,2
1040-3,15-31,1
1041-1,4-4,1
1041-1,5-4,1
1041-1,7-4,1
1041-1,11-4,2
1041-1,15-31,1
1041-2,4-4,1
1041-2,5-4,1
15-15,9-4,1
1041-2,7-4,1
1041-2,11-4,2
1041-2,15-31,1
1042-2,4-4,1
1042-2,5-4,1
1042-2,7-4,1
1042-2,11-4,2
1042-2,15-31,1
1042-3,4-4,1
1042-3,5-4,1
15-15,10-4,1
1042-3,7-4,1
1042-3,11-4,2
1042-3,15-31,1
1043-1,4-4,1
1043-1,5-4,1
1043-1,7-4,1
1043-1,11-4,2
1043-1,15-31,1
1044-2,4-4,1
1044-2,5-4,1
15-15,12-4,1
1044-2,7-4,1
1044-2,11-4,2
1044-2,15-31,1
1044-3,4-4,1
1044-3,5-4,1
1044-3,7-4,1
1044-3,11-4,2
1044-3,15-31,1
15-16,2-6,1
15-16,6-5,1
15-16,8-5,1
15-16,9-4,1
15-16,10-4,1
15-16,12-4,1
15-17,2-6,1
15-17,6-5,1
15-17,8-5,1
15-17,9-4,1
15-17,10-4,1
15-17,12-4,1
15-18,2-6,1
15-18,6-5,1
15-18,8-5,1
15-18,9-4,1
15-18,10-4,1
15-18,12-4,1
15-19,2-6,1
15-19,6-5,1
15-19,8-5,1
15-19,9-4,1
15-19,10-4,1
15-19,12-4,1
3-11,13-5,1
3-12,13-5,1
2043-2,13-5,1
2043-3,13-5,1
2043-4,13-5,1
2043-5,13-5,1
2043-6,13-5,1
2043-7,13-5,1
2043-8,13-5,1
2043-9,13-5,1
2043-10,13-5,1
2043-11,13-5,1
2043-12,13-5,1
2043-13,13-5,1
2043-14,13-5,1
2043-15,13-5,1
2043-16,13-5,1
2061-2,13-5,1
2061-3,13-5,1
2061-4,13-5,1
2061-5,13-5,1
2063-6,2-16,1
2063-6,1032-5,1
2063-6,2043-16,1
2043-17,13-6,1
2063-7,2-17,1
2063-7,1032-5,1
2063-7,2043-17,1
2043-18,13-6,1
2043-19,13-6,1
2063-8,2-19,1
2063-8,1032-5,1
2063-8,2043-19,1
2043-20,13-6,1
2063-9,2-21,1
2063-9,1032-5,1
2063-9,2043-20,1
3-13,13-6,1
2080-1,13-6,1
2083-2,13-6,1
2090-2,13-6,1
2090-3,13-6,1
2063-10,2-21,1
2063-10,1032-5,1
2063-10,2043-20,1
2093-2,2-21,1
2093-2,1032-5,1
2093-2,2043-20,1
2093-3,2-21,1
2093-3,1032-5,1
2093-3,2043-20,1
2093-4,2-21,1
2093-4,1032-5,1
2093-4,2043-20,1
2093-5,2-21,1
2093-5,1032-5,1
2093-5,2043-20,1
2093-6,2-21,1
2093-6,1032-5,1
2093-6,2043-20,1
2093-7,2-21,1
2093-7,1032-5,1
2093-7,2043-20,1
2093-8,2-21,1
2093-8,1032-5,1
2093-8,2043-20,1
2061-6,13-6,1
2093-9,2-22,1
2093-9,1032-7,1
2093-9,2043-20,1
2093-10,2-22,1
2093-10,1032-7,1
2093-10,2043-20,1
2063-11,2-22,1
2063-11,1032-7,1
2063-11,2043-20,1
2063-12,2-22,1
2063-12,1032-7,1
2063-12,2043-20,1
2095-2,2-22,1
2095-2,1032-7,1
2095-2,2043-20,1
2095-3,2-22,1
2095-3,1032-7,1
2095-3,2043-20,1
2095-4,2-22,1
2095-4,1032-7,1
2095-4,2043-20,1
2097-2,13-6,1
2097-3,13-6,1
2100-2,13-6,1
2100-3,13-6,1
2104-2,13-6,1
2104-3,13-6,1
2104-4,13-6,1
2107-2,13-6,1
2107-3,13-6,1
2107-4,13-6,1
2110-2,2-22,1
2110-2,1032-7,1
2110-2,2043-20,1
2110-3,2-22,1
2110-3,1032-7,1
2110-3,2043-20,1
2112-2,2-22,1
2112-2,1032-7,1
2112-2,2043-20,1
2112-3,2-22,1
2112-3,1032-7,1
2112-3,2043-20,1
2112-4,2-22,1
2112-4,1032-7,1
2112-4,2043-20,1
2114-2,2-22,1
2114-2,1032-7,1
2114-2,2043-20,1
2114-3,2-22,1
2114-3,1032-7,1
2114-3,2043-20,1
2104-5,13-6,1
2093-11,2-22,1
2093-11,1032-7,1
2093-11,2043-20,1
2097-4,13-6,1
2117-2,13-6,1
2116-2,13-6,1
2118-2,13-6,1
2117-3,13-6,1
2118-3,13-6,1
2100-4,13-6,1
2100-5,13-6,1
2132-2,13-6,1
2132-3,13-6,1
2090-4,13-6,1
2090-5,13-6,1
2132-4,13-6,1
2118-4,13-10,1
2138-2,2-22,1
2138-2,1032-7,1
2138-2,2043-20,1
2138-3,2-22,1
2138-3,1032-7,1
2138-3,2043-20,1
2138-4,2-22,1
2138-4,1032-7,1
2138-4,2043-20,1
2140-2,2-22,1
2140-2,1032-7,1
2140-2,2043-20,1
2140-3,2-22,1
2140-3,1032-7,1
2140-3,2043-20,1
2140-4,2-22,1
2140-4,1032-7,1
2140-4,2043-20,1
2142-2,2-22,1
2142-2,1032-7,1
2142-2,2043-20,1
2142-3,2-22,1
2142-3,1032-7,1
2142-3,2043-20,1
2144-2,2-22,1
2144-2,1032-7,1
2144-2,2043-20,1
2144-3,2-22,1
2144-3,1032-7,1
2144-3,2043-20,1
2147-2,4-4,1
2147-2,5-8,1
2147-2,7-4,1
2147-2,11-4,2
2147-2,15-31,1
2147-3,4-4,1
2147-3,5-8,1
2147-3,7-4,1
2147-3,11-4,2
2147-3,15-31,1
2147-4,4-4,1
2147-4,5-8,1
2147-4,7-4,1
2147-4,11-4,2
2147-4,15-31,1
2148-2,15-31,1
2148-3,15-31,1
2148-4,15-31,1
2063-13,2-22,1
2063-13,1032-7,1
2063-13,2043-20,1
2063-14,2-22,1
2063-14,1032-7,1
2063-14,2043-21,1
2095-5,2-22,1
2095-5,1032-7,1
2095-5,2043-21,1
2150-2,13-10,1
2150-3,13-10,1
2150-4,13-10,1
2153-2,13-10,1
2154-2,13-10,1
2155-2,13-10,1
2156-2,13-10,1
2155-3,13-10,1
2166-2,13-10,1
15-2,2-5,1
2165-2,13-10,1
2165-3,13-10,1
1041-3,4-4,1
1041-3,5-8,1
1041-3,7-4,1
1041-3,11-4,2
1041-3,15-31,1
1041-4,4-4,1
1041-4,5-8,1
1041-4,7-4,1
1041-4,11-4,2
1041-4,15-31,1
2173-2,2-22,1
2173-2,1032-7,1
2173-2,2043-21,1
2173-3,2-22,1
2173-3,1032-7,1
2173-3,2043-21,1
1041-5,4-4,1
1041-5,5-8,1
1041-5,7-4,1
1041-5,11-4,2
1041-5,15-31,1
2175-2,2-22,1
2175-2,6-6,1
2175-2,8-5,1
2175-2,9-5,1
2175-2,10-8,1
2175-2,12-6,1
2175-3,2-22,1
2175-3,6-6,1
2175-3,8-5,1
2175-3,9-5,1
2175-3,10-8,1
2175-3,12-6,1
2176-2,2-22,1
2176-2,6-6,1
2176-2,8-5,1
2176-2,9-5,1
2176-2,10-8,1
2176-2,12-6,1
2176-3,2-22,1
2176-3,6-6,1
2176-3,8-5,1
2176-3,9-5,1
2176-3,10-8,1
2176-3,12-6,1
2140-5,2-22,1
2140-5,1032-7,1
2140-5,2043-21,1
2168-2,13-10,1
2167-2,13-10,1
2167-3,13-10,1
2181-2,13-10,1
2184-2,13-10,1
2184-3,13-10,1
2181-3,13-10,1
2187-2,13-10,1
2188-2,13-10,1
2188-3,13-10,1
2187-3,13-10,1
2193-2,13-10,1
2166-3,13-10,1
2148-5,15-31,1
15-32,2-22,1
15-2,6-2,1
15-32,6-6,1
15-32,8-5,1
15-32,9-5,1
15-32,10-8,1
15-32,12-6,1
2148-6,15-32,1
2148-7,15-32,1
2148-8,15-32,1
2197-2,2-22,1
2197-2,1032-7,1
2197-2,2043-21,1
2197-3,2-22,1
2197-3,1032-7,1
2197-3,2043-21,1
15-2,8-2,1
15-2,9-2,1
15-2,10-2,1
15-2,12-2,1
14-2,4-4,1
14-2,5-2,1
14-2,7-2,1
14-2,11-2,2
14-2,15-2,1
3197-2,2-22,1
3197-2,1032-7,1
3197-2,2043-21,1
3197-3,2-22,1
3197-3,1032-7,1
3197-3,2043-21,1
3197-4,2-22,1
3197-4,1032-7,1
3197-4,2043-21,1
3197-5,2043-21,1
3197-6,2043-21,1
15-3,2-6,1
15-3,6-3,1
15-3,8-3,1
15-3,9-3,1
15-3,10-3,1
15-3,12-3,1
15-4,2-6,1
3-2,13-2,1
15-4,6-4,1
15-4,8-4,1
15-4,9-4,1
15-4,10-4,1
15-4,12-4,1
15-5,2-6,1
15-5,6-4,1
15-5,8-4,1
15-5,9-4,1
15-5,10-4,1
15-5,12-4,1
3-5,13-3,1
3-6,13-4,1
15-6,2-6,1
15-6,6-4,1
15-6,8-5,1
15-6,9-4,1
15-6,10-4,1
15-6,12-4,1
15-7,2-6,1
15-7,6-4,1
15-7,8-5,1
3-3,13-2,1
15-7,9-4,1
15-7,10-4,1
15-7,12-4,1
15-8,2-6,1
15-8,6-4,1
15-8,8-5,1
15-8,9-4,1
15-8,10-4,1
15-8,12-4,1
15-9,2-6,1
15-9,6-4,1
15-9,8-5,1
15-9,9-4,1
15-9,10-4,1
15-9,12-4,1
15-10,2-6,1
