bomLineId,parent,child,quantity,uom,sequence,bomType,operation,scrapPercent,active
ODOO-BOMLINE-0000045,ODOO-VER-000015-026,ODOO-VER-000008-005,1,Units,46,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000046,ODOO-VER-000015-011,ODOO-VER-000006-005,1,Units,47,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000047,ODOO-VER-000015-026,ODOO-VER-000009-004,1,Units,48,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000048,ODOO-VER-000015-026,ODOO-VER-000010-004,1,Units,49,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000049,ODOO-VER-000015-026,ODOO-VER-000012-004,1,Units,50,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000050,ODOO-VER-000015-027,ODOO-VER-000002-006,1,Units,51,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000051,ODOO-VER-000015-027,ODOO-VER-000006-005,1,Units,52,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000052,ODOO-VER-000015-027,ODOO-VER-000008-005,1,Units,53,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000053,ODOO-VER-000015-027,ODOO-VER-000009-004,1,Units,54,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000054,ODOO-VER-000015-027,ODOO-VER-000010-004,1,Units,55,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000055,ODOO-VER-000015-027,ODOO-VER-000012-004,1,Units,56,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000056,ODOO-VER-000015-028,ODOO-VER-000002-006,1,Units,57,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000057,ODOO-VER-000015-011,ODOO-VER-000008-005,1,Units,58,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000058,ODOO-VER-000015-028,ODOO-VER-000006-005,1,Units,59,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000059,ODOO-VER-000015-028,ODOO-VER-000008-005,1,Units,60,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000060,ODOO-VER-000015-028,ODOO-VER-000009-004,1,Units,61,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000061,ODOO-VER-000015-028,ODOO-VER-000010-004,1,Units,62,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000062,ODOO-VER-000015-028,ODOO-VER-000012-004,1,Units,63,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000063,ODOO-VER-000015-029,ODOO-VER-000002-006,1,Units,64,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000064,ODOO-VER-000015-029,ODOO-VER-000006-005,1,Units,65,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000065,ODOO-VER-000015-029,ODOO-VER-000008-005,1,Units,66,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000066,ODOO-VER-000015-029,ODOO-VER-000009-004,1,Units,67,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000067,ODOO-VER-000015-029,ODOO-VER-000010-004,1,Units,68,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000068,ODOO-VER-000015-011,ODOO-VER-000009-004,1,Units,69,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000069,ODOO-VER-000015-029,ODOO-VER-000012-004,1,Units,70,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000070,ODOO-VER-000014-003,ODOO-VER-000004-004,1,Units,71,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000071,ODOO-VER-000014-003,ODOO-VER-000005-004,1,Units,72,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000072,ODOO-VER-000014-003,ODOO-VER-000007-004,1,Units,73,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000073,ODOO-VER-000014-003,ODOO-VER-000011-003,2,Units,74,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000074,ODOO-VER-000014-003,ODOO-VER-000015-029,1,Units,75,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000075,ODOO-VER-000014-004,ODOO-VER-000004-004,1,Units,76,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000076,ODOO-VER-000014-004,ODOO-VER-000005-004,1,Units,77,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000077,ODOO-VER-000014-004,ODOO-VER-000007-004,1,Units,78,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000078,ODOO-VER-000014-004,ODOO-VER-000011-003,2,Units,79,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000079,ODOO-VER-000015-011,ODOO-VER-000010-004,1,Units,80,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000080,ODOO-VER-000014-004,ODOO-VER-000015-029,1,Units,81,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000081,ODOO-VER-000014-005,ODOO-VER-000004-004,1,Units,82,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000082,ODOO-VER-000014-005,ODOO-VER-000005-004,1,Units,83,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000083,ODOO-VER-000014-005,ODOO-VER-000007-004,1,Units,84,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000084,ODOO-VER-000014-005,ODOO-VER-000011-003,2,Units,85,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000085,ODOO-VER-000014-005,ODOO-VER-000015-029,1,Units,86,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000086,ODOO-VER-000014-006,ODOO-VER-000004-004,1,Units,87,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000087,ODOO-VER-000014-006,ODOO-VER-000005-004,1,Units,88,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000088,ODOO-VER-000014-006,ODOO-VER-000007-004,1,Units,89,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000089,ODOO-VER-000014-006,ODOO-VER-000011-003,2,Units,90,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000090,ODOO-VER-000015-011,ODOO-VER-000012-004,1,Units,91,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000091,ODOO-VER-000014-006,ODOO-VER-000015-029,1,Units,92,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000092,ODOO-VER-000014-007,ODOO-VER-000004-004,1,Units,93,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000093,ODOO-VER-000014-007,ODOO-VER-000005-004,1,Units,94,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000094,ODOO-VER-000014-007,ODOO-VER-000007-004,1,Units,95,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000095,ODOO-VER-000014-007,ODOO-VER-000011-003,2,Units,96,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000096,ODOO-VER-000014-007,ODOO-VER-000015-029,1,Units,97,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000097,ODOO-VER-000014-008,ODOO-VER-000004-004,1,Units,98,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000098,ODOO-VER-000014-008,ODOO-VER-000005-004,1,Units,99,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000099,ODOO-VER-000014-008,ODOO-VER-000007-004,1,Units,100,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000100,ODOO-VER-000014-008,ODOO-VER-000011-003,2,Units,1,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000101,ODOO-VER-000015-012,ODOO-VER-000002-006,1,Units,2,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000102,ODOO-VER-000014-008,ODOO-VER-000015-029,1,Units,3,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000103,ODOO-VER-000014-009,ODOO-VER-000004-004,1,Units,4,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000104,ODOO-VER-000014-009,ODOO-VER-000005-004,1,Units,5,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000105,ODOO-VER-000014-009,ODOO-VER-000007-004,1,Units,6,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000106,ODOO-VER-000014-009,ODOO-VER-000011-003,2,Units,7,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000107,ODOO-VER-000014-009,ODOO-VER-000015-029,1,Units,8,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000108,ODOO-VER-000014-010,ODOO-VER-000004-004,1,Units,9,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000109,ODOO-VER-000014-010,ODOO-VER-000005-004,1,Units,10,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000110,ODOO-VER-000014-010,ODOO-VER-000007-004,1,Units,11,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000111,ODOO-VER-000014-010,ODOO-VER-000011-003,2,Units,12,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000112,ODOO-VER-000015-012,ODOO-VER-000006-005,1,Units,13,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000113,ODOO-VER-000014-010,ODOO-VER-000015-029,1,Units,14,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000114,ODOO-VER-000014-011,ODOO-VER-000004-004,1,Units,15,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000115,ODOO-VER-000014-011,ODOO-VER-000005-004,1,Units,16,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000116,ODOO-VER-000014-011,ODOO-VER-000007-004,1,Units,17,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000117,ODOO-VER-000014-011,ODOO-VER-000011-003,2,Units,18,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000118,ODOO-VER-000014-011,ODOO-VER-000015-029,1,Units,19,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000119,ODOO-VER-000014-012,ODOO-VER-000004-004,1,Units,20,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000120,ODOO-VER-000014-012,ODOO-VER-000005-004,1,Units,21,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000121,ODOO-VER-000014-012,ODOO-VER-000007-004,1,Units,22,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000122,ODOO-VER-000014-012,ODOO-VER-000011-003,2,Units,23,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000123,ODOO-VER-000015-012,ODOO-VER-000008-005,1,Units,24,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000124,ODOO-VER-000014-012,ODOO-VER-000015-029,1,Units,25,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000125,ODOO-VER-001022-001,ODOO-VER-000002-006,1,Units,26,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000126,ODOO-VER-001022-001,ODOO-VER-000006-005,1,Units,27,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000127,ODOO-VER-000003-004,ODOO-VER-000013-002,1,Units,28,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000128,ODOO-VER-001022-001,ODOO-VER-000008-005,1,Units,29,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000129,ODOO-VER-001022-001,ODOO-VER-000009-004,1,Units,30,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000130,ODOO-VER-001022-001,ODOO-VER-000010-004,1,Units,31,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000131,ODOO-VER-001022-001,ODOO-VER-000012-004,1,Units,32,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000132,ODOO-VER-001022-002,ODOO-VER-000002-006,1,Units,33,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000133,ODOO-VER-001022-002,ODOO-VER-000006-005,1,Units,34,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000134,ODOO-VER-001022-002,ODOO-VER-000008-005,1,Units,35,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000135,ODOO-VER-000015-012,ODOO-VER-000009-004,1,Units,36,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000136,ODOO-VER-001022-002,ODOO-VER-000009-004,1,Units,37,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000137,ODOO-VER-001022-002,ODOO-VER-000010-004,1,Units,38,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000138,ODOO-VER-001022-002,ODOO-VER-000012-004,1,Units,39,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000139,ODOO-VER-001023-001,ODOO-VER-000004-004,1,Units,40,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000140,ODOO-VER-001023-001,ODOO-VER-000005-004,1,Units,41,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000141,ODOO-VER-001023-001,ODOO-VER-000007-004,1,Units,42,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000142,ODOO-VER-001023-001,ODOO-VER-000011-003,2,Units,43,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000143,ODOO-VER-001023-001,ODOO-VER-000015-029,1,Units,44,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000144,ODOO-VER-001023-002,ODOO-VER-000004-004,1,Units,45,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000145,ODOO-VER-001023-002,ODOO-VER-000005-004,1,Units,46,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000146,ODOO-VER-000015-012,ODOO-VER-000010-004,1,Units,47,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000147,ODOO-VER-001023-002,ODOO-VER-000007-004,1,Units,48,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000148,ODOO-VER-001023-002,ODOO-VER-000011-003,2,Units,49,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000149,ODOO-VER-001023-002,ODOO-VER-000015-029,1,Units,50,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000150,ODOO-VER-001024-001,ODOO-VER-000004-004,1,Units,51,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000151,ODOO-VER-001024-001,ODOO-VER-000005-004,1,Units,52,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000152,ODOO-VER-001024-001,ODOO-VER-000007-004,1,Units,53,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000153,ODOO-VER-001024-001,ODOO-VER-000011-003,2,Units,54,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000154,ODOO-VER-001024-001,ODOO-VER-000015-029,1,Units,55,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000155,ODOO-VER-001025-001,ODOO-VER-000004-004,1,Units,56,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000156,ODOO-VER-001025-001,ODOO-VER-000005-004,1,Units,57,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000157,ODOO-VER-000015-012,ODOO-VER-000012-004,1,Units,58,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000158,ODOO-VER-001025-001,ODOO-VER-000007-004,1,Units,59,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000159,ODOO-VER-001025-001,ODOO-VER-000011-003,2,Units,60,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000160,ODOO-VER-001025-001,ODOO-VER-000015-029,1,Units,61,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000161,ODOO-VER-001025-002,ODOO-VER-000004-004,1,Units,62,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000162,ODOO-VER-001025-002,ODOO-VER-000005-004,1,Units,63,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000163,ODOO-VER-001025-002,ODOO-VER-000007-004,1,Units,64,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000164,ODOO-VER-001025-002,ODOO-VER-000011-003,2,Units,65,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000165,ODOO-VER-001025-002,ODOO-VER-000015-029,1,Units,66,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000166,ODOO-VER-000014-013,ODOO-VER-000004-004,1,Units,67,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000167,ODOO-VER-000014-013,ODOO-VER-000005-004,1,Units,68,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000168,ODOO-VER-000015-013,ODOO-VER-000002-006,1,Units,69,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000169,ODOO-VER-000014-013,ODOO-VER-000007-004,1,Units,70,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000170,ODOO-VER-000014-013,ODOO-VER-000011-003,2,Units,71,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000171,ODOO-VER-000014-013,ODOO-VER-000015-029,1,Units,72,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000172,ODOO-VER-000014-014,ODOO-VER-000004-004,1,Units,73,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000173,ODOO-VER-000014-014,ODOO-VER-000005-004,1,Units,74,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000174,ODOO-VER-000014-014,ODOO-VER-000007-004,1,Units,75,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000175,ODOO-VER-000014-014,ODOO-VER-000011-003,2,Units,76,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000176,ODOO-VER-000014-014,ODOO-VER-000015-029,1,Units,77,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000177,ODOO-VER-000014-015,ODOO-VER-000004-004,1,Units,78,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000178,ODOO-VER-000014-015,ODOO-VER-000005-004,1,Units,79,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000179,ODOO-VER-000015-013,ODOO-VER-000006-005,1,Units,80,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000180,ODOO-VER-000014-015,ODOO-VER-000007-004,1,Units,81,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000181,ODOO-VER-000014-015,ODOO-VER-000011-003,2,Units,82,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000182,ODOO-VER-000014-015,ODOO-VER-000015-029,1,Units,83,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000183,ODOO-VER-000014-016,ODOO-VER-000004-004,1,Units,84,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000184,ODOO-VER-000014-016,ODOO-VER-000005-004,1,Units,85,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000185,ODOO-VER-000014-016,ODOO-VER-000007-004,1,Units,86,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000186,ODOO-VER-000014-016,ODOO-VER-000011-003,2,Units,87,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000187,ODOO-VER-000014-016,ODOO-VER-000015-029,1,Units,88,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000188,ODOO-VER-000014-017,ODOO-VER-000007-004,1,Units,89,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000189,ODOO-VER-000014-017,ODOO-VER-000004-004,1,Units,90,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000190,ODOO-VER-000015-013,ODOO-VER-000008-005,1,Units,91,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000191,ODOO-VER-000014-017,ODOO-VER-000005-004,1,Units,92,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000192,ODOO-VER-000014-017,ODOO-VER-000011-003,2,Units,93,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000193,ODOO-VER-000014-017,ODOO-VER-000015-029,1,Units,94,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000194,ODOO-VER-000014-018,ODOO-VER-000007-004,1,Units,95,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000195,ODOO-VER-000014-018,ODOO-VER-000004-004,1,Units,96,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000196,ODOO-VER-000014-018,ODOO-VER-000005-004,1,Units,97,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000197,ODOO-VER-000014-018,ODOO-VER-000011-003,2,Units,98,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000198,ODOO-VER-000014-018,ODOO-VER-000015-029,1,Units,99,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000199,ODOO-VER-000014-019,ODOO-VER-000007-004,1,Units,100,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000200,ODOO-VER-000014-019,ODOO-VER-000004-004,1,Units,1,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000201,ODOO-VER-000015-013,ODOO-VER-000009-004,1,Units,2,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000202,ODOO-VER-000014-019,ODOO-VER-000005-004,1,Units,3,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000203,ODOO-VER-000014-019,ODOO-VER-000011-003,2,Units,4,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000204,ODOO-VER-000014-019,ODOO-VER-000015-029,1,Units,5,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000205,ODOO-VER-000014-020,ODOO-VER-000007-004,1,Units,6,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000206,ODOO-VER-000014-020,ODOO-VER-000004-004,1,Units,7,normal,Assembly,0.50,TRUE
ODOO-BOMLINE-0000207,ODOO-VER-000014-020,ODOO-VER-000005-004,1,Units,8,normal,Assembly,0.75,TRUE
ODOO-BOMLINE-0000208,ODOO-VER-000014-020,ODOO-VER-000011-003,2,Units,9,normal,Assembly,0.00,TRUE
ODOO-BOMLINE-0000209,ODOO-VER-000014-020,ODOO-VER-000015-029,1,Units,10,normal,Assembly,0.25,TRUE
ODOO-BOMLINE-0000210,ODOO-VER-000014-021,ODOO-VER-000007-004,1,Units,11,normal,Assembly,0.50,TRUE
