relationId,parent,child,revision,isCurrent,active
ODOO-HASVER-0000051,ODOO-PROD-000006,ODOO-VER-000006-004,4,FALSE,TRUE
ODOO-HASVER-0000052,ODOO-PROD-000006,ODOO-VER-000006-005,5,FALSE,TRUE
ODOO-HASVER-0000053,ODOO-PROD-000006,ODOO-VER-000006-006,6,TRUE,TRUE
ODOO-HASVER-0000054,ODOO-PROD-000007,ODOO-VER-000007-001,1,FALSE,TRUE
ODOO-HASVER-0000055,ODOO-PROD-000007,ODOO-VER-000007-002,2,FALSE,TRUE
ODOO-HASVER-0000056,ODOO-PROD-000007,ODOO-VER-000007-003,3,FALSE,TRUE
ODOO-HASVER-0000057,ODOO-PROD-000007,ODOO-VER-000007-004,4,TRUE,TRUE
ODOO-HASVER-0000058,ODOO-PROD-000008,ODOO-VER-000008-001,1,FALSE,TRUE
ODOO-HASVER-0000059,ODOO-PROD-000008,ODOO-VER-000008-002,2,FALSE,TRUE
ODOO-HASVER-0000060,ODOO-PROD-000008,ODOO-VER-000008-003,3,FALSE,TRUE
ODOO-HASVER-0000061,ODOO-PROD-000008,ODOO-VER-000008-004,4,FALSE,TRUE
ODOO-HASVER-0000062,ODOO-PROD-000008,ODOO-VER-000008-005,5,TRUE,TRUE
ODOO-HASVER-0000063,ODOO-PROD-000009,ODOO-VER-000009-001,1,FALSE,TRUE
ODOO-HASVER-0000064,ODOO-PROD-000009,ODOO-VER-000009-002,2,FALSE,TRUE
ODOO-HASVER-0000065,ODOO-PROD-000009,ODOO-VER-000009-003,3,FALSE,TRUE
ODOO-HASVER-0000066,ODOO-PROD-000009,ODOO-VER-000009-004,4,FALSE,TRUE
ODOO-HASVER-0000067,ODOO-PROD-000009,ODOO-VER-000009-005,5,TRUE,TRUE
ODOO-HASVER-0000068,ODOO-PROD-000010,ODOO-VER-000010-001,1,FALSE,TRUE
ODOO-HASVER-0000069,ODOO-PROD-000010,ODOO-VER-000010-002,2,FALSE,TRUE
ODOO-HASVER-0000070,ODOO-PROD-000010,ODOO-VER-000010-003,3,FALSE,TRUE
ODOO-HASVER-0000071,ODOO-PROD-000010,ODOO-VER-000010-004,4,FALSE,TRUE
ODOO-HASVER-0000072,ODOO-PROD-000010,ODOO-VER-000010-005,5,FALSE,TRUE
ODOO-HASVER-0000073,ODOO-PROD-000010,ODOO-VER-000010-006,6,FALSE,TRUE
ODOO-HASVER-0000074,ODOO-PROD-000010,ODOO-VER-000010-007,7,FALSE,TRUE
ODOO-HASVER-0000075,ODOO-PROD-000010,ODOO-VER-000010-008,8,TRUE,TRUE
ODOO-HASVER-0000076,ODOO-PROD-000011,ODOO-VER-000011-001,1,FALSE,TRUE
ODOO-HASVER-0000077,ODOO-PROD-000011,ODOO-VER-000011-002,2,FALSE,TRUE
ODOO-HASVER-0000078,ODOO-PROD-000011,ODOO-VER-000011-003,3,FALSE,TRUE
ODOO-HASVER-0000079,ODOO-PROD-000011,ODOO-VER-000011-004,4,TRUE,TRUE
ODOO-HASVER-0000080,ODOO-PROD-000012,ODOO-VER-000012-001,1,FALSE,TRUE
ODOO-HASVER-0000081,ODOO-PROD-000012,ODOO-VER-000012-002,2,FALSE,TRUE
ODOO-HASVER-0000082,ODOO-PROD-000012,ODOO-VER-000012-003,3,FALSE,TRUE
ODOO-HASVER-0000083,ODOO-PROD-000012,ODOO-VER-000012-004,4,FALSE,TRUE
ODOO-HASVER-0000084,ODOO-PROD-000012,ODOO-VER-000012-005,5,FALSE,TRUE
ODOO-HASVER-0000085,ODOO-PROD-000012,ODOO-VER-000012-006,6,TRUE,TRUE
ODOO-HASVER-0000086,ODOO-PROD-000013,ODOO-VER-000013-001,1,FALSE,TRUE
ODOO-HASVER-0000087,ODOO-PROD-000013,ODOO-VER-000013-002,2,FALSE,TRUE
ODOO-HASVER-0000088,ODOO-PROD-000013,ODOO-VER-000013-003,3,FALSE,TRUE
ODOO-HASVER-0000089,ODOO-PROD-000013,ODOO-VER-000013-004,4,FALSE,TRUE
ODOO-HASVER-0000090,ODOO-PROD-000013,ODOO-VER-000013-005,5,FALSE,TRUE
ODOO-HASVER-0000091,ODOO-PROD-000013,ODOO-VER-000013-006,6,FALSE,TRUE
ODOO-HASVER-0000092,ODOO-PROD-000013,ODOO-VER-000013-007,7,FALSE,TRUE
ODOO-HASVER-0000093,ODOO-PROD-000013,ODOO-VER-000013-008,8,FALSE,TRUE
ODOO-HASVER-0000094,ODOO-PROD-000013,ODOO-VER-000013-009,9,FALSE,TRUE
ODOO-HASVER-0000095,ODOO-PROD-000013,ODOO-VER-000013-010,10,TRUE,TRUE
ODOO-HASVER-0000096,ODOO-PROD-000014,ODOO-VER-000014-001,1,FALSE,TRUE
ODOO-HASVER-0000097,ODOO-PROD-000014,ODOO-VER-000014-002,2,FALSE,TRUE
ODOO-HASVER-0000098,ODOO-PROD-000014,ODOO-VER-000014-003,3,FALSE,TRUE
ODOO-HASVER-0000099,ODOO-PROD-000014,ODOO-VER-000014-004,4,FALSE,TRUE
ODOO-HASVER-0000100,ODOO-PROD-000014,ODOO-VER-000014-005,5,FALSE,TRUE
ODOO-HASVER-0000101,ODOO-PROD-000014,ODOO-VER-000014-006,6,FALSE,TRUE
ODOO-HASVER-0000102,ODOO-PROD-000014,ODOO-VER-000014-025,25,FALSE,TRUE
ODOO-HASVER-0000103,ODOO-PROD-000014,ODOO-VER-000014-026,26,TRUE,TRUE
ODOO-HASVER-0000104,ODOO-PROD-000014,ODOO-VER-000014-019,19,FALSE,TRUE
ODOO-HASVER-0000105,ODOO-PROD-000014,ODOO-VER-000014-020,20,FALSE,TRUE
ODOO-HASVER-0000106,ODOO-PROD-000014,ODOO-VER-000014-021,21,FALSE,TRUE
ODOO-HASVER-0000107,ODOO-PROD-000014,ODOO-VER-000014-022,22,FALSE,TRUE
ODOO-HASVER-0000108,ODOO-PROD-000014,ODOO-VER-000014-023,23,FALSE,TRUE
ODOO-HASVER-0000109,ODOO-PROD-000014,ODOO-VER-000014-024,24,FALSE,TRUE
ODOO-HASVER-0000110,ODOO-PROD-000014,ODOO-VER-000014-013,13,FALSE,TRUE
ODOO-HASVER-0000111,ODOO-PROD-000014,ODOO-VER-000014-014,14,FALSE,TRUE
ODOO-HASVER-0000112,ODOO-PROD-000014,ODOO-VER-000014-015,15,FALSE,TRUE
ODOO-HASVER-0000113,ODOO-PROD-000014,ODOO-VER-000014-016,16,FALSE,TRUE
ODOO-HASVER-0000114,ODOO-PROD-000014,ODOO-VER-000014-017,17,FALSE,TRUE
ODOO-HASVER-0000115,ODOO-PROD-000014,ODOO-VER-000014-018,18,FALSE,TRUE
ODOO-HASVER-0000116,ODOO-PROD-000014,ODOO-VER-000014-007,7,FALSE,TRUE
ODOO-HASVER-0000117,ODOO-PROD-000014,ODOO-VER-000014-008,8,FALSE,TRUE
ODOO-HASVER-0000118,ODOO-PROD-000014,ODOO-VER-000014-009,9,FALSE,TRUE
ODOO-HASVER-0000119,ODOO-PROD-000014,ODOO-VER-000014-010,10,FALSE,TRUE
ODOO-HASVER-0000120,ODOO-PROD-000014,ODOO-VER-000014-011,11,FALSE,TRUE
ODOO-HASVER-0000121,ODOO-PROD-000014,ODOO-VER-000014-012,12,FALSE,TRUE
ODOO-HASVER-0000122,ODOO-PROD-000015,ODOO-VER-000015-001,1,FALSE,TRUE
ODOO-HASVER-0000123,ODOO-PROD-000015,ODOO-VER-000015-032,32,TRUE,TRUE
ODOO-HASVER-0000124,ODOO-PROD-000015,ODOO-VER-000015-026,26,FALSE,TRUE
ODOO-HASVER-0000125,ODOO-PROD-000015,ODOO-VER-000015-027,27,FALSE,TRUE
ODOO-HASVER-0000126,ODOO-PROD-000015,ODOO-VER-000015-028,28,FALSE,TRUE
ODOO-HASVER-0000127,ODOO-PROD-000015,ODOO-VER-000015-029,29,FALSE,TRUE
ODOO-HASVER-0000128,ODOO-PROD-000015,ODOO-VER-000015-030,30,FALSE,TRUE
ODOO-HASVER-0000129,ODOO-PROD-000015,ODOO-VER-000015-031,31,FALSE,TRUE
ODOO-HASVER-0000130,ODOO-PROD-000015,ODOO-VER-000015-020,20,FALSE,TRUE
ODOO-HASVER-0000131,ODOO-PROD-000015,ODOO-VER-000015-021,21,FALSE,TRUE
ODOO-HASVER-0000132,ODOO-PROD-000015,ODOO-VER-000015-022,22,FALSE,TRUE
ODOO-HASVER-0000133,ODOO-PROD-000015,ODOO-VER-000015-023,23,FALSE,TRUE
ODOO-HASVER-0000134,ODOO-PROD-000015,ODOO-VER-000015-024,24,FALSE,TRUE
ODOO-HASVER-0000135,ODOO-PROD-000015,ODOO-VER-000015-025,25,FALSE,TRUE
ODOO-HASVER-0000136,ODOO-PROD-000015,ODOO-VER-000015-014,14,FALSE,TRUE
ODOO-HASVER-0000137,ODOO-PROD-000015,ODOO-VER-000015-015,15,FALSE,TRUE
ODOO-HASVER-0000138,ODOO-PROD-000015,ODOO-VER-000015-016,16,FALSE,TRUE
ODOO-HASVER-0000139,ODOO-PROD-000015,ODOO-VER-000015-017,17,FALSE,TRUE
ODOO-HASVER-0000140,ODOO-PROD-000015,ODOO-VER-000015-018,18,FALSE,TRUE
ODOO-HASVER-0000141,ODOO-PROD-000015,ODOO-VER-000015-019,19,FALSE,TRUE
ODOO-HASVER-0000142,ODOO-PROD-000015,ODOO-VER-000015-008,8,FALSE,TRUE
ODOO-HASVER-0000143,ODOO-PROD-000015,ODOO-VER-000015-009,9,FALSE,TRUE
ODOO-HASVER-0000144,ODOO-PROD-000015,ODOO-VER-000015-010,10,FALSE,TRUE
ODOO-HASVER-0000145,ODOO-PROD-000015,ODOO-VER-000015-011,11,FALSE,TRUE
ODOO-HASVER-0000146,ODOO-PROD-000015,ODOO-VER-000015-012,12,FALSE,TRUE
ODOO-HASVER-0000147,ODOO-PROD-000015,ODOO-VER-000015-013,13,FALSE,TRUE
ODOO-HASVER-0000148,ODOO-PROD-000015,ODOO-VER-000015-002,2,FALSE,TRUE
ODOO-HASVER-0000149,ODOO-PROD-000015,ODOO-VER-000015-003,3,FALSE,TRUE
ODOO-HASVER-0000150,ODOO-PROD-000015,ODOO-VER-000015-004,4,FALSE,TRUE
ODOO-HASVER-0000151,ODOO-PROD-000015,ODOO-VER-000015-005,5,FALSE,TRUE
ODOO-HASVER-0000152,ODOO-PROD-000015,ODOO-VER-000015-006,6,FALSE,TRUE
ODOO-HASVER-0000153,ODOO-PROD-000015,ODOO-VER-000015-007,7,FALSE,TRUE
ODOO-HASVER-0000154,ODOO-PROD-001022,ODOO-VER-001022-001,1,FALSE,TRUE
ODOO-HASVER-0000155,ODOO-PROD-001022,ODOO-VER-001022-002,2,TRUE,TRUE
ODOO-HASVER-0000156,ODOO-PROD-001023,ODOO-VER-001023-001,1,FALSE,TRUE
ODOO-HASVER-0000157,ODOO-PROD-001023,ODOO-VER-001023-002,2,FALSE,TRUE
ODOO-HASVER-0000158,ODOO-PROD-001023,ODOO-VER-001023-003,3,FALSE,TRUE
ODOO-HASVER-0000159,ODOO-PROD-001023,ODOO-VER-001023-004,4,TRUE,TRUE
ODOO-HASVER-0000160,ODOO-PROD-001024,ODOO-VER-001024-001,1,TRUE,TRUE
ODOO-HASVER-0000161,ODOO-PROD-001025,ODOO-VER-001025-001,1,FALSE,TRUE
ODOO-HASVER-0000162,ODOO-PROD-001025,ODOO-VER-001025-002,2,FALSE,TRUE
ODOO-HASVER-0000163,ODOO-PROD-001025,ODOO-VER-001025-003,3,FALSE,TRUE
ODOO-HASVER-0000164,ODOO-PROD-001025,ODOO-VER-001025-004,4,FALSE,TRUE
ODOO-HASVER-0000165,ODOO-PROD-001025,ODOO-VER-001025-005,5,FALSE,TRUE
ODOO-HASVER-0000166,ODOO-PROD-001025,ODOO-VER-001025-006,6,TRUE,TRUE
ODOO-HASVER-0000167,ODOO-PROD-001027,ODOO-VER-001027-001,1,FALSE,TRUE
ODOO-HASVER-0000168,ODOO-PROD-001027,ODOO-VER-001027-002,2,TRUE,TRUE
ODOO-HASVER-0000169,ODOO-PROD-001029,ODOO-VER-001029-001,1,FALSE,TRUE
ODOO-HASVER-0000170,ODOO-PROD-001029,ODOO-VER-001029-002,2,FALSE,TRUE
ODOO-HASVER-0000171,ODOO-PROD-001029,ODOO-VER-001029-003,3,FALSE,TRUE
ODOO-HASVER-0000172,ODOO-PROD-001029,ODOO-VER-001029-004,4,TRUE,TRUE
ODOO-HASVER-0000173,ODOO-PROD-001030,ODOO-VER-001030-001,1,FALSE,TRUE
ODOO-HASVER-0000174,ODOO-PROD-001030,ODOO-VER-001030-002,2,FALSE,TRUE
ODOO-HASVER-0000175,ODOO-PROD-001030,ODOO-VER-001030-003,3,TRUE,TRUE
ODOO-HASVER-0000176,ODOO-PROD-001031,ODOO-VER-001031-001,1,FALSE,TRUE
ODOO-HASVER-0000177,ODOO-PROD-001031,ODOO-VER-001031-002,2,FALSE,TRUE
ODOO-HASVER-0000178,ODOO-PROD-001031,ODOO-VER-001031-003,3,TRUE,TRUE
ODOO-HASVER-0000179,ODOO-PROD-001032,ODOO-VER-001032-001,1,FALSE,TRUE
ODOO-HASVER-0000180,ODOO-PROD-001032,ODOO-VER-001032-002,2,FALSE,TRUE
ODOO-HASVER-0000181,ODOO-PROD-001032,ODOO-VER-001032-003,3,FALSE,TRUE
ODOO-HASVER-0000182,ODOO-PROD-001032,ODOO-VER-001032-004,4,FALSE,TRUE
ODOO-HASVER-0000183,ODOO-PROD-001032,ODOO-VER-001032-005,5,FALSE,TRUE
ODOO-HASVER-0000184,ODOO-PROD-001032,ODOO-VER-001032-006,6,FALSE,TRUE
ODOO-HASVER-0000185,ODOO-PROD-001032,ODOO-VER-001032-007,7,TRUE,TRUE
ODOO-HASVER-0000186,ODOO-PROD-001033,ODOO-VER-001033-001,1,FALSE,TRUE
ODOO-HASVER-0000187,ODOO-PROD-001033,ODOO-VER-001033-002,2,FALSE,TRUE
ODOO-HASVER-0000188,ODOO-PROD-001033,ODOO-VER-001033-003,3,TRUE,TRUE
ODOO-HASVER-0000189,ODOO-PROD-001034,ODOO-VER-001034-001,1,FALSE,TRUE
ODOO-HASVER-0000190,ODOO-PROD-001034,ODOO-VER-001034-002,2,FALSE,TRUE
ODOO-HASVER-0000191,ODOO-PROD-001034,ODOO-VER-001034-003,3,TRUE,TRUE
ODOO-HASVER-0000192,ODOO-PROD-001035,ODOO-VER-001035-001,1,FALSE,TRUE
ODOO-HASVER-0000193,ODOO-PROD-001035,ODOO-VER-001035-002,2,FALSE,TRUE
ODOO-HASVER-0000194,ODOO-PROD-001035,ODOO-VER-001035-003,3,TRUE,TRUE
ODOO-HASVER-0000195,ODOO-PROD-001036,ODOO-VER-001036-001,1,FALSE,TRUE
ODOO-HASVER-0000196,ODOO-PROD-001036,ODOO-VER-001036-002,2,FALSE,TRUE
ODOO-HASVER-0000197,ODOO-PROD-001036,ODOO-VER-001036-003,3,FALSE,TRUE
ODOO-HASVER-0000198,ODOO-PROD-001036,ODOO-VER-001036-004,4,FALSE,TRUE
ODOO-HASVER-0000199,ODOO-PROD-001036,ODOO-VER-001036-005,5,FALSE,TRUE
ODOO-HASVER-0000200,ODOO-PROD-001036,ODOO-VER-001036-006,6,TRUE,TRUE
ODOO-HASVER-0000201,ODOO-PROD-001038,ODOO-VER-001038-001,1,FALSE,TRUE
ODOO-HASVER-0000202,ODOO-PROD-001038,ODOO-VER-001038-002,2,TRUE,TRUE
ODOO-HASVER-0000203,ODOO-PROD-001039,ODOO-VER-001039-001,1,FALSE,TRUE
ODOO-HASVER-0000204,ODOO-PROD-001039,ODOO-VER-001039-002,2,FALSE,TRUE
ODOO-HASVER-0000205,ODOO-PROD-001039,ODOO-VER-001039-003,3,TRUE,TRUE
ODOO-HASVER-0000206,ODOO-PROD-001040,ODOO-VER-001040-001,1,FALSE,TRUE
ODOO-HASVER-0000207,ODOO-PROD-001040,ODOO-VER-001040-002,2,FALSE,TRUE
ODOO-HASVER-0000208,ODOO-PROD-001040,ODOO-VER-001040-003,3,TRUE,TRUE
ODOO-HASVER-0000209,ODOO-PROD-001041,ODOO-VER-001041-001,1,FALSE,TRUE
ODOO-HASVER-0000210,ODOO-PROD-001041,ODOO-VER-001041-002,2,FALSE,TRUE
ODOO-HASVER-0000211,ODOO-PROD-001041,ODOO-VER-001041-003,3,FALSE,TRUE
ODOO-HASVER-0000212,ODOO-PROD-001041,ODOO-VER-001041-004,4,FALSE,TRUE
ODOO-HASVER-0000213,ODOO-PROD-001041,ODOO-VER-001041-005,5,TRUE,TRUE
ODOO-HASVER-0000214,ODOO-PROD-001042,ODOO-VER-001042-001,1,FALSE,TRUE
ODOO-HASVER-0000215,ODOO-PROD-001042,ODOO-VER-001042-002,2,FALSE,TRUE
ODOO-HASVER-0000216,ODOO-PROD-001042,ODOO-VER-001042-003,3,TRUE,TRUE
ODOO-HASVER-0000217,ODOO-PROD-001043,ODOO-VER-001043-001,1,TRUE,TRUE
ODOO-HASVER-0000218,ODOO-PROD-001044,ODOO-VER-001044-001,1,FALSE,TRUE
ODOO-HASVER-0000219,ODOO-PROD-001044,ODOO-VER-001044-002,2,FALSE,TRUE
ODOO-HASVER-0000220,ODOO-PROD-001044,ODOO-VER-001044-003,3,TRUE,TRUE
ODOO-HASVER-0000221,ODOO-PROD-002043,ODOO-VER-002043-001,1,FALSE,TRUE
ODOO-HASVER-0000222,ODOO-PROD-002043,ODOO-VER-002043-002,2,FALSE,TRUE
ODOO-HASVER-0000223,ODOO-PROD-002043,ODOO-VER-002043-003,3,FALSE,TRUE
ODOO-HASVER-0000224,ODOO-PROD-002043,ODOO-VER-002043-004,4,FALSE,TRUE
ODOO-HASVER-0000225,ODOO-PROD-002043,ODOO-VER-002043-005,5,FALSE,TRUE
ODOO-HASVER-0000226,ODOO-PROD-002043,ODOO-VER-002043-006,6,FALSE,TRUE
ODOO-HASVER-0000227,ODOO-PROD-002043,ODOO-VER-002043-019,19,FALSE,TRUE
ODOO-HASVER-0000228,ODOO-PROD-002043,ODOO-VER-002043-020,20,FALSE,TRUE
ODOO-HASVER-0000229,ODOO-PROD-002043,ODOO-VER-002043-021,21,TRUE,TRUE
ODOO-HASVER-0000230,ODOO-PROD-002043,ODOO-VER-002043-013,13,FALSE,TRUE
ODOO-HASVER-0000231,ODOO-PROD-002043,ODOO-VER-002043-014,14,FALSE,TRUE
ODOO-HASVER-0000232,ODOO-PROD-002043,ODOO-VER-002043-015,15,FALSE,TRUE
ODOO-HASVER-0000233,ODOO-PROD-002043,ODOO-VER-002043-016,16,FALSE,TRUE
ODOO-HASVER-0000234,ODOO-PROD-002043,ODOO-VER-002043-017,17,FALSE,TRUE
ODOO-HASVER-0000235,ODOO-PROD-002043,ODOO-VER-002043-018,18,FALSE,TRUE
ODOO-HASVER-0000236,ODOO-PROD-002043,ODOO-VER-002043-007,7,FALSE,TRUE
ODOO-HASVER-0000237,ODOO-PROD-002043,ODOO-VER-002043-008,8,FALSE,TRUE
ODOO-HASVER-0000238,ODOO-PROD-002043,ODOO-VER-002043-009,9,FALSE,TRUE
ODOO-HASVER-0000239,ODOO-PROD-002043,ODOO-VER-002043-010,10,FALSE,TRUE
ODOO-HASVER-0000240,ODOO-PROD-002043,ODOO-VER-002043-011,11,FALSE,TRUE
ODOO-HASVER-0000241,ODOO-PROD-002043,ODOO-VER-002043-012,12,FALSE,TRUE
ODOO-HASVER-0000242,ODOO-PROD-002060,ODOO-VER-002060-001,1,FALSE,TRUE
ODOO-HASVER-0000243,ODOO-PROD-002060,ODOO-VER-002060-002,2,FALSE,TRUE
ODOO-HASVER-0000244,ODOO-PROD-002060,ODOO-VER-002060-003,3,TRUE,TRUE
ODOO-HASVER-0000245,ODOO-PROD-002061,ODOO-VER-002061-001,1,FALSE,TRUE
ODOO-HASVER-0000246,ODOO-PROD-002061,ODOO-VER-002061-002,2,FALSE,TRUE
ODOO-HASVER-0000247,ODOO-PROD-002061,ODOO-VER-002061-003,3,FALSE,TRUE
ODOO-HASVER-0000248,ODOO-PROD-002061,ODOO-VER-002061-004,4,FALSE,TRUE
ODOO-HASVER-0000249,ODOO-PROD-002061,ODOO-VER-002061-005,5,FALSE,TRUE
ODOO-HASVER-0000250,ODOO-PROD-002061,ODOO-VER-002061-006,6,TRUE,TRUE
ODOO-HASVER-0000251,ODOO-PROD-002062,ODOO-VER-002062-001,1,FALSE,TRUE
ODOO-HASVER-0000252,ODOO-PROD-002062,ODOO-VER-002062-002,2,FALSE,TRUE
ODOO-HASVER-0000253,ODOO-PROD-002062,ODOO-VER-002062-003,3,FALSE,TRUE
ODOO-HASVER-0000254,ODOO-PROD-002062,ODOO-VER-002062-004,4,TRUE,TRUE
ODOO-HASVER-0000255,ODOO-PROD-002063,ODOO-VER-002063-001,1,FALSE,TRUE
ODOO-HASVER-0000256,ODOO-PROD-002063,ODOO-VER-002063-002,2,FALSE,TRUE
ODOO-HASVER-0000257,ODOO-PROD-002063,ODOO-VER-002063-003,3,FALSE,TRUE
ODOO-HASVER-0000258,ODOO-PROD-002063,ODOO-VER-002063-004,4,FALSE,TRUE
ODOO-HASVER-0000259,ODOO-PROD-002063,ODOO-VER-002063-005,5,FALSE,TRUE
ODOO-HASVER-0000260,ODOO-PROD-002063,ODOO-VER-002063-006,6,FALSE,TRUE
ODOO-HASVER-0000261,ODOO-PROD-002063,ODOO-VER-002063-013,13,FALSE,TRUE
ODOO-HASVER-0000262,ODOO-PROD-002063,ODOO-VER-002063-014,14,TRUE,TRUE
ODOO-HASVER-0000263,ODOO-PROD-002063,ODOO-VER-002063-007,7,FALSE,TRUE
ODOO-HASVER-0000264,ODOO-PROD-002063,ODOO-VER-002063-008,8,FALSE,TRUE
ODOO-HASVER-0000265,ODOO-PROD-002063,ODOO-VER-002063-009,9,FALSE,TRUE
ODOO-HASVER-0000266,ODOO-PROD-002063,ODOO-VER-002063-010,10,FALSE,TRUE
ODOO-HASVER-0000267,ODOO-PROD-002063,ODOO-VER-002063-011,11,FALSE,TRUE
ODOO-HASVER-0000268,ODOO-PROD-002063,ODOO-VER-002063-012,12,FALSE,TRUE
ODOO-HASVER-0000269,ODOO-PROD-002069,ODOO-VER-002069-001,1,FALSE,TRUE
ODOO-HASVER-0000270,ODOO-PROD-002069,ODOO-VER-002069-002,2,TRUE,TRUE
ODOO-HASVER-0000271,ODOO-PROD-002070,ODOO-VER-002070-001,1,TRUE,TRUE
ODOO-HASVER-0000272,ODOO-PROD-002071,ODOO-VER-002071-001,1,TRUE,TRUE
ODOO-HASVER-0000273,ODOO-PROD-002072,ODOO-VER-002072-001,1,TRUE,TRUE
