documentId,fileName,projectPath
2146,21545459044.sldprt,\PROJECTS\
2147,Pneumatic 200080.SLDASM,\PROJECTS\
2148,Copy of 200080.SLDASM,\PROJECTS\1.ATest'\
2149,Copy of 212919.sldprt,\PROJECTS\1.ATest'\
2150,MultipleTestFile.sldprt,\PROJECTS\
2153,Copy of MultipleTestFile.sldprt,\PROJECTS\
2154,Copy (2) of MultipleTestFile.sldprt,\PROJECTS\
2155,219055.sldprt,\PROJECTS\
2156,Copy (4) of MultipleTestFile.sldprt,\PROJECTS\
2165,219056.sldprt,\PROJECTS\New Folder\
2166,219069.sldprt,\PROJECTS\New Folder\
2167,219064.sldprt,\PROJECTS\New Folder\
2168,Copy (3) of MultipleTestFile.sldprt,\PROJECTS\New Folder\
2173,219059.SLDASM,\PROJECTS\1.ATest'\
2175,Copy of 200081.SLDASM,\PROJECTS\
2176,Copy of Copy of 200081.SLDASM,\PROJECTS\
2181,219066.sldprt,\PROJECTS\New Folder\
2184,219065.sldprt,\PROJECTS\New Folder\
2187,219068.sldprt,\PROJECTS\New Folder\
2188,219067.sldprt,\PROJECTS\New Folder\
2193,Copy of 219067.sldprt,\PROJECTS\New Folder\
2196,Copy of 219068.sldprt,\PROJECTS\New Folder\
2197,209876543.SLDASM,\PROJECTS\1.ATest'\
2199,Copy of Part1.SLDPRT,\PROJECTS\1.ATest'\
2200,Copy of 210876.sldprt,\PROJECTS\1.ATest'\
3197,223735.SLDASM,\PROJECTS\1.ATest'\
